,temp 0,temp 1,temp 2,,edge,nodes,,level 1,level 2,level 3,level 4,L
21,0.000999689,0.002999783,0.004000902,21,10,10,21,20,52,46,16,100
83,0.001997471,0.002997398,0.002997398,83,10,11,83,20,90,0,0,110
52,0,0,0,52,11,11,52,22,36,36,42,121
57,0,0,0,57,12,12,57,24,80,60,10,144
35,0,0,0,35,13,13,35,26,84,76,16,169
75,0.003004789,0.005003691,0.005003691,75,14,15,75,28,136,44,2,210
86,0.001998186,0.004998446,0.004998446,86,14,15,86,28,136,44,2,210
87,0.000999928,0.002999067,0.00411725,87,14,14,87,28,52,50,62,196
56,0,0,0,56,15,14,56,30,68,104,100,210
38,0,0.008065701,0.008065701,38,16,13,38,32,72,132,206,208
15,0.002031326,0.004003525,0.00703907,15,17,16,15,34,72,112,126,272
74,0.002980947,0.006993532,0.017990828,74,17,14,74,34,112,190,250,238
17,0.002998352,0.011003494,0.027001619,17,19,11,17,38,154,428,880,209
33,0,0,0.022216082,33,21,16,33,42,144,322,566,336
8,0.004001141,0.007998228,0.017998457,8,22,19,8,44,136,198,438,418
53,0.002146959,0.010323048,0.012466669,53,22,21,53,44,232,272,270,462
73,0.00199914,0.007976532,0.02697134,73,23,19,73,46,130,276,424,437
77,0.006001949,0.012001038,0.016020536,77,23,23,77,46,308,238,158,529
54,0.002046347,0.010155439,0.022359848,54,24,20,54,48,230,368,452,480
61,0.010176182,0.012258053,0.022672176,61,25,24,61,50,396,232,134,600
18,0.006029606,0.018027306,0.032028437,18,27,21,18,54,386,550,590,567
72,0.008032084,0.017025709,0.042993307,72,29,26,72,58,496,370,584,754
80,0.010001183,0.028002024,0.059001207,80,29,24,80,58,380,668,1154,696
23,0.004017591,0.011016369,0.019016027,23,31,27,23,62,170,274,448,837
45,0,0.010061502,0.025697231,45,31,25,45,62,224,532,862,775
39,0.010061264,0.020187378,0.048428059,39,32,25,39,64,230,458,816,800
68,0.009005308,0.018997908,0.033999681,68,32,31,68,64,506,472,282,992
24,0.009010077,0.022008419,0.036967039,24,33,30,24,66,556,590,638,990
40,0.003994942,0.012999296,0.018996477,40,33,33,40,66,138,190,166,1089
37,0.01220727,0.02032423,0.082952261,37,34,27,37,68,442,880,2236,918
66,0.008999586,0.035000086,0.187013388,66,41,30,66,82,488,1392,3658,1230
98,0.004832029,0.02686429,0.071833849,98,41,30,98,82,292,830,2076,1230
9,0.01002717,0.047996759,0.149635077,9,42,27,9,84,512,1856,5982,1134
5,0.020493507,0.041083574,0.0491395,5,43,38,5,86,1300,908,832,1634
12,0.012017727,0.038026571,0.096021652,12,47,34,12,94,664,1454,3202,1598
51,0.012286901,0.040779114,0.155549288,51,49,33,51,98,618,1902,6994,1617
49,0.012228251,0.053035498,0.207071543,49,51,30,49,102,700,2644,9482,1530
100,0.028245926,0.066409826,0.142623425,100,52,47,100,104,1558,1578,3774,2444
19,0.017004251,0.070000648,0.268001795,19,55,38,19,110,1088,3048,11252,2090
67,0.01300621,0.056971073,0.383000374,67,55,36,67,110,826,2296,7274,1980
7,0.015676737,0.046929598,0.248450041,7,56,34,7,112,662,2616,9332,1904
22,0.013999224,0.083043814,0.373040676,22,62,37,22,124,836,3936,16780,2294
41,0.021046162,0.105116844,0.556731224,41,62,33,41,124,1054,3772,17014,2046
29,0.012032509,0.039034367,0.102031946,29,63,48,29,126,524,1384,3424,3024
31,0.012218952,0.063601255,0.258444548,31,64,43,31,128,996,3000,10156,2752
47,0.020005941,0.067085028,0.199740171,47,65,46,47,130,1064,2666,6594,2990
65,0.029000044,0.107038498,0.807047844,65,67,49,65,134,1872,4318,16676,3283
60,0.012163877,0.022468805,0.114976406,60,68,59,60,136,402,920,2036,4012
99,0.0260005,0.086105108,0.244244576,99,73,56,99,146,1386,2842,7820,4088
25,0.026967287,0.110966444,0.469969273,25,74,50,25,148,1720,5086,20920,3700
28,0.069000483,0.1520226,0.297002554,28,77,64,28,154,3548,3656,7272,4928
32,0.023034096,0.118678808,0.667181969,32,77,40,32,154,1192,6298,30896,3080
0,0.018460751,0.05121088,0.11289525,0,78,71,0,156,1306,1552,3102,5538
20,0.029039145,0.201040745,1.300997972,20,83,35,20,166,1780,10732,71136,2905
42,0.06398344,0.28542614,0.885806561,42,96,61,42,192,2374,8272,30840,5856
58,0.040914059,0.251366377,3.13092947,58,97,53,58,194,2800,12258,74000,5141
92,0.038144588,0.262332678,1.656559944,92,102,48,92,204,1858,11672,71194,4896
10,0.031247616,0.184808016,0.794677973,10,105,61,10,210,1736,7840,31982,6405
43,0.090932131,0.397592545,2.868104935,43,115,58,43,230,3422,17756,126782,6670
46,0.031232119,0.150248528,0.392780066,46,116,97,46,232,2524,5538,13750,11252
69,0.052970648,0.34900856,5.509256124,69,126,67,69,252,3224,18076,121006,8442
63,0.066703081,0.240494728,1.391499758,63,138,109,63,276,3916,10386,25504,15042
16,0.077029705,0.485999584,3.224996805,16,144,63,16,288,4308,25156,169442,9072
50,0.047107458,0.180045366,0.800023317,50,144,100,50,288,2572,7952,29350,14400
85,0.167870522,0.898100138,10.12935662,85,147,83,85,294,9524,29326,507440,12201
36,0.05275774,0.263715982,1.131919622,36,151,107,36,302,2838,11368,50826,16157
44,0.261660099,0.565217733,0.648353815,44,154,147,44,308,18692,6512,2396,22638
97,0.049045563,0.35910058,2.353701591,97,155,79,97,310,2786,16766,106422,12245
11,0.082336903,0.709500551,5.971173525,11,163,75,11,326,5846,33870,291930,12225
30,0.060023546,0.429970503,2.682747841,30,164,92,30,328,3812,21778,144454,15088
3,0.072526455,0.473950624,2.341230869,3,173,99,3,346,4714,22788,106552,17127
48,0.182232857,0.707433939,4.36637044,48,175,124,48,350,11626,26596,241308,21700
34,0.115856171,1.01209259,8.999269247,34,202,82,34,404,7628,50664,473098,16564
1,0.05267334,0.279104471,1.257787704,1,203,137,1,406,2748,12246,59642,27811
4,0.104566336,0.971921682,8.394878864,4,207,77,4,414,6700,53112,488152,15939
26,0.199002504,1.436969757,18.30732679,26,224,96,26,448,13520,75250,1025176,21504
6,0.13185358,1.34838748,13.71970654,6,242,83,6,484,8536,71330,708124,20086
78,0.128032446,0.78903079,6.080003023,78,252,151,78,504,8350,38914,329868,38052
95,0.150304079,1.434143066,11.88167715,95,325,167,95,650,8352,69078,567734,54275
96,0.78857851,2.94702816,13.12821245,96,340,242,96,680,45566,92518,452266,82280
90,0.909648657,4.00929594,49.60873628,90,361,239,90,722,50062,129246,2271254,86279
70,0.292544365,2.862297773,90.0981462,70,387,161,70,774,19466,167996,2153314,62307
91,0.439016342,3.020250082,25.21585083,91,414,210,91,828,20926,112986,1118730,86940
2,0.315817356,4.585043907,70.79298759,2,440,128,2,880,20720,261038,4116584,56320
59,0.76188755,4.21087122,86.30741692,59,440,244,59,880,52298,206472,1994148,107360
89,0.406073809,3.974878073,43.95883441,89,458,187,89,916,17332,172506,2076484,85646
71,0.185103893,1.323838472,20.72132516,71,549,342,71,1098,10402,66000,479454,187758
13,0.29299593,2.463963985,20.80148745,13,579,348,13,1158,18240,132348,1106000,201492
88,0.493986368,9.868417501,211.2367373,88,589,99,88,1178,26720,497916,10318014,58311
55,0.70036912,7.075370789,92.35657191,55,605,283,55,1210,47148,341532,5171280,171215
81,0.921650887,10.80979991,178.7364135,81,643,228,81,1286,47110,467786,8736904,146604
82,0.913033485,8.978115082,173.1348104,82,706,289,82,1412,49358,444606,8594380,204034
93,0.578006029,4.967987776,53.94116139,93,756,401,93,1512,32056,221140,2346248,303156
64,0.612257242,4.701542139,76.70671034,64,798,523,64,1596,31868,195050,1732028,417354
84,0.865724087,12.17759991,196.4404347,84,870,278,84,1740,48054,627682,10920208,241860
76,0.733961344,9.519490957,114.4561484,76,888,406,76,1776,48414,484548,6396040,360528
94,3.433448076,22.63067126,259.8692904,94,1077,544,94,2154,198496,944728,11663794,585888
62,2.963225842,25.87305045,790.5360491,62,1181,532,62,2362,190760,1294840,18824912,628292
14,1.726061821,21.45755553,400.4836962,14,1220,492,14,2440,98970,1188530,22995266,600240
27,1.461217642,20.48371029,343.581342,27,1413,523,27,2826,82970,1151468,19578786,738999
79,5.930221558,66.03384972,2334.933342,79,1969,815,79,3938,363596,3520860,97924908,1604735
